method,image,condition,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact,boundary_f
Validation best,479,component_dropout,0.0685512185,0.00189208984,0.996234665,0.99249758,1,0,0,0.968844221
Action-coordinate selector,479,component_dropout,0.0685512185,0.00189208984,0.996234665,0.99249758,1,0,0,0.968844221
Direct-output selector,479,component_dropout,0.0708976375,0.00424804687,0.991546596,0.983236125,1,0,0,0.959639063
Input,537,component_dropout,0.0753290577,0.00933837891,0.983013212,0.966593886,1,0,0,0.95475819
Validation best,537,component_dropout,0.225608249,0.00964355469,0.982467821,0.965539804,1,3,0,0.94488189
Action-coordinate selector,537,component_dropout,0.225608249,0.00964355469,0.982467821,0.965539804,1,3,0,0.94488189
Direct-output selector,537,component_dropout,0.227834544,0.0120605469,0.978110579,0.957164799,1,3,0,0.933952714
Input,672,component_dropout,0.0819466444,0.0118408203,0.967720466,0.937459703,1,0,0,0.905775076
Validation best,672,component_dropout,0.0819466444,0.0118408203,0.967720466,0.937459703,1,0,0,0.905775076
Action-coordinate selector,672,component_dropout,0.0819466444,0.0118408203,0.967720466,0.937459703,1,0,0,0.905775076
Direct-output selector,672,component_dropout,0.0825622377,0.0123046875,0.966413416,0.935009671,1,0,0,0.905775076
Input,753,component_dropout,0.132320042,0.0723876953,0.87206041,0.773144606,1,0,0,0.83143508
Validation best,753,component_dropout,0.232369874,0.0724487305,0.871966347,0.772996749,1,1,0,0.820689655
Action-coordinate selector,753,component_dropout,0.232369874,0.0724487305,0.871966347,0.772996749,1,1,0,0.820689655
Direct-output selector,753,component_dropout,0.233313597,0.073449707,0.870107527,0.770080631,1,1,0,0.819057392
Input,805,component_dropout,0.165460843,0.0692749023,0.787652011,0.649691358,1,0,0,0.777464789
Validation best,805,component_dropout,0.165460843,0.0692749023,0.787652011,0.649691358,1,0,0,0.777464789
Action-coordinate selector,805,component_dropout,0.165460843,0.0692749023,0.787652011,0.649691358,1,0,0,0.777464789
Direct-output selector,805,component_dropout,0.166898667,0.0704345703,0.784637285,0.645599833,1,0,0,0.764563217
Input,812,component_dropout,0.0721978539,0.001953125,0.987148594,0.974623315,1,0,0,0.917098446
Validation best,812,component_dropout,0.0721978539,0.001953125,0.987148594,0.974623315,1,0,0,0.917098446
Action-coordinate selector,812,component_dropout,0.0721978539,0.001953125,0.987148594,0.974623315,1,0,0,0.917098446
Direct-output selector,812,component_dropout,0.072685637,0.00212402344,0.986014586,0.97241603,1,0,0,0.917098446
Input,848,component_dropout,0.0691960018,0.00347900391,0.995416164,0.990874159,1,0,0,0.962739174
Validation best,848,component_dropout,0.0691960018,0.00347900391,0.995416164,0.990874159,1,0,0,0.962739174
Action-coordinate selector,848,component_dropout,0.0691960018,0.00347900391,0.995416164,0.990874159,1,0,0,0.962739174
Direct-output selector,848,component_dropout,0.173254551,0.00909423828,0.988077409,0.97643699,1,1,0,0.88527356
Input,880,component_dropout,0.0824549021,0.0228271484,0.971942986,0.945417396,1,0,0,0.91902834
Validation best,880,component_dropout,0.0824549021,0.0228271484,0.971942986,0.945417396,1,0,0,0.91902834
Action-coordinate selector,880,component_dropout,0.0824549021,0.0228271484,0.971942986,0.945417396,1,0,0,0.91902834
