method,image,condition,loss,mse,dice,iou,beta0_error,beta1_error,topology_exact,boundary_f
Validation best,2158,component_dropout,0.0752065425,0.00817871094,0.941072999,0.888704319,1,0,0,0.884476534
Action-coordinate selector,2158,component_dropout,0.0752065425,0.00817871094,0.941072999,0.888704319,1,0,0,0.884476534
Direct-output selector,2158,component_dropout,0.0757287161,0.00834960938,0.939853014,0.886531521,1,0,0,0.884476534
Input,2169,component_dropout,0.0685588364,0.00201416016,0.996276656,0.992580935,1,0,0,0.968720379
Validation best,2169,component_dropout,0.0685588364,0.00201416016,0.996276656,0.992580935,1,0,0,0.968720379
Action-coordinate selector,2169,component_dropout,0.0685588364,0.00201416016,0.996276656,0.992580935,1,0,0,0.968720379
Direct-output selector,2169,component_dropout,0.0703494406,0.00391845703,0.992752294,0.985611983,1,0,0,0.963974318
Input,2177,component_dropout,0.0738596579,0.00457763672,0.98430634,0.969097651,1,0,0,0.943820225
Validation best,2177,component_dropout,0.0738596579,0.00457763672,0.98430634,0.969097651,1,0,0,0.943820225
Action-coordinate selector,2177,component_dropout,0.0738596579,0.00457763672,0.98430634,0.969097651,1,0,0,0.943820225
Direct-output selector,2177,component_dropout,0.0773709838,0.00677490234,0.976626658,0.954320988,1,0,0,0.926590538
Input,2179,component_dropout,0.0746482938,0.00842285156,0.984257358,0.969002695,1,0,0,0.879790941
Validation best,2179,component_dropout,0.0746482938,0.00842285156,0.984257358,0.969002695,1,0,0,0.879790941
Action-coordinate selector,2179,component_dropout,0.0746482938,0.00842285156,0.984257358,0.969002695,1,0,0,0.879790941
Direct-output selector,2179,component_dropout,0.075368261,0.0091796875,0.982835858,0.966251274,1,0,0,0.879203932
Input,2187,component_dropout,0.066945206,0.000427246094,0.999517275,0.999035015,1,0,0,0.992036405
Validation best,2187,component_dropout,0.066945206,0.000427246094,0.999517275,0.999035015,1,0,0,0.992036405
Action-coordinate selector,2187,component_dropout,0.066945206,0.000427246094,0.999517275,0.999035015,1,0,0,0.992036405
Direct-output selector,2187,component_dropout,0.0676852399,0.0015625,0.998234817,0.996476757,1,0,0,0.988344335
Input,2224,component_dropout,0.0670549823,0.000427246094,0.999242834,0.998486814,1,0,0,0.992978937
Validation best,2224,component_dropout,0.0670549823,0.000427246094,0.999242834,0.998486814,1,0,0,0.992978937
Action-coordinate selector,2224,component_dropout,0.0670549823,0.000427246094,0.999242834,0.998486814,1,0,0,0.992978937
Direct-output selector,2224,component_dropout,0.0678088385,0.00125732422,0.997773232,0.995557065,1,0,0,0.990540137
Input,2329,component_dropout,0.163795554,0.0919189453,0.803137255,0.671035387,1,0,0,0.839486356
Validation best,2329,component_dropout,0.163795554,0.0919189453,0.803137255,0.671035387,1,0,0,0.839486356
Action-coordinate selector,2329,component_dropout,0.163795554,0.0919189453,0.803137255,0.671035387,1,0,0,0.839486356
Direct-output selector,2329,component_dropout,0.164074218,0.0922241211,0.802593181,0.670277123,1,0,0,0.836467134
Input,2386,component_dropout,0.144531982,0.0856933594,0.848183391,0.736387533,1,0,0,0.678304239
Validation best,2386,component_dropout,0.144531982,0.0856933594,0.848183391,0.736387533,1,0,0,0.678304239
Action-coordinate selector,2386,component_dropout,0.144531982,0.0856933594,0.848183391,0.736387533,1,0,0,0.678304239
Direct-output selector,2386,component_dropout,0.144693294,0.0858520508,0.847859457,0.735899362,1,0,0,0.678304239
Input,2399,component_dropout,0.0693852239,0.00244140625,0.99442431,0.988910452,1,0,0,0.967479675
Validation best,2399,component_dropout,0.0693852239,0.00244140625,0.99442431,0.988910452,1,0,0,0.967479675
Action-coordinate selector,2399,component_dropout,0.0693852239,0.00244140625,0.99442431,0.988910452,1,0,0,0.967479675
Direct-output selector,2399,component_dropout,0.0698187449,0.00283203125,0.99353582,0.987156965,1,0,0,0.967479675
Input,2414,component_dropout,0.0779728616,0.0131835938,0.978326309,0.957572186,1,0,0,0.934782609
Validation best,2414,component_dropout,0.178024331,0.0132446289,0.978228153,0.957384132,1,1,0,0.934782609
Action-coordinate selector,2414,component_dropout,0.178024331,0.0132446289,0.978228153,0.957384132,1,1,0,0.934782609
Direct-output selector,2414,component_dropout,0.179862171,0.0154052734,0.974713877,0.950682504,1,1,0,0.923701226
Input,2498,component_dropout,0.0761368473,0.00732421875,0.979986658,0.960758666,1,0,0,0.932006633
Validation best,2498,component_dropout,0.0761368473,0.00732421875,0.979986658,0.960758666,1,0,0,0.932006633
Action-coordinate selector,2498,component_dropout,0.0761368473,0.00732421875,0.979986658,0.960758666,1,0,0,0.932006633
Direct-output selector,2498,component_dropout,0.0775859732,0.00845947266,0.97693147,0.954903294,1,0,0,0.906621392
Input,2500,component_dropout,0.0866633707,0.0494995117,0.933091329,0.874574698,1,0,0,0.888059701
Validation best,2500,component_dropout,0.0866633707,0.0494995117,0.933091329,0.874574698,1,0,0,0.888059701
Action-coordinate selector,2500,component_dropout,0.0866633707,0.0494995117,0.933091329,0.874574698,1,0,0,0.888059701
Direct-output selector,2500,component_dropout,0.0872043515,0.0501953125,0.932086777,0.87281163,1,0,0,0.888059701
Input,2515,component_dropout,0.069518444,0.00390625,0.994823682,0.989700676,1,0,0,0.937984496
Validation best,2515,component_dropout,0.069518444,0.00390625,0.994823682,0.989700676,1,0,0,0.937984496
Action-coordinate selector,2515,component_dropout,0.069518444,0.00390625,0.994823682,0.989700676,1,0,0,0.937984496
Direct-output selector,2515,component_dropout,0.0704160198,0.00513916016,0.993196197,0.986487217,1,0,0,0.935505082
Input,2545,component_dropout,0.0826361504,0.0175170898,0.968834835,0.939553496,1,0,0,0.910648715
Validation best,2545,component_dropout,0.21613231,0.0177001953,0.968519323,0.938960219,1,2,0,0.903940887
Action-coordinate selector,2545,component_dropout,0.21613231,0.0177001953,0.968519323,0.938960219,1,2,0,0.903940887
Direct-output selector,2545,component_dropout,0.216907167,0.0185546875,0.967009426,0.936128435,1,2,0,0.892166662
Input,2554,component_dropout,0.0808870361,0.0115966797,0.970247416,0.942214112,1,0,0,0.914498141
Validation best,2554,component_dropout,0.0808870361,0.0115966797,0.970247416,0.942214112,1,0,0,0.914498141
Action-coordinate selector,2554,component_dropout,0.0808870361,0.0115966797,0.970247416,0.942214112,1,0,0,0.914498141
Direct-output selector,2554,component_dropout,0.0815981605,0.0121704102,0.96875647,0.93940797,1,0,0,0.913688065
Input,2562,component_dropout,0.0702489256,0.00396728516,0.993027995,0.986152535,1,0,0,0.930182599
Validation best,2562,component_dropout,0.0702489256,0.00396728516,0.993027995,0.986152535,1,0,0,0.930182599
Action-coordinate selector,2562,component_dropout,0.0702489256,0.00396728516,0.993027995,0.986152535,1,0,0,0.930182599
Direct-output selector,2562,component_dropout,0.0714750169,0.00532226563,0.990640257,0.981458346,1,0,0,0.929952531
Input,2580,component_dropout,0.0714663117,0.00299072266,0.989496249,0.979210861,1,0,0,0.928257687
Validation best,2580,component_dropout,0.0714663117,0.00299072266,0.989496249,0.979210861,1,0,0,0.928257687
Action-coordinate selector,2580,component_dropout,0.0714663117,0.00299072266,0.989496249,0.979210861,1,0,0,0.928257687
Direct-output selector,2580,component_dropout,0.0726040765,0.00369873047,0.987005841,0.974345372,1,0,0,0.928257687
Input,2586,component_dropout,0.174199926,0.16986084,0.816097271,0.689327975,1,0,0,0.770999116
Validation best,2586,component_dropout,0.174199926,0.16986084,0.816097271,0.689327975,1,0,0,0.770999116
Action-coordinate selector,2586,component_dropout,0.174199926,0.16986084,0.816097271,0.689327975,1,0,0,0.770999116
Direct-output selector,2586,component_dropout,0.175385962,0.171911621,0.814157572,0.686565874,1,0,0,0.754329243
Input,2666,component_dropout,0.0801176725,0.0101318359,0.971438403,0.944463031,1,0,0,0.898839138
Validation best,2666,component_dropout,0.0801176725,0.0101318359,0.971438403,0.944463031,1,0,0,0.898839138
Action-coordinate selector,2666,component_dropout,0.0801176725,0.0101318359,0.971438403,0.944463031,1,0,0,0.898839138
Direct-output selector,2666,component_dropout,0.0821502151,0.0116577148,0.967119986,0.936333333,1,0,0,0.898839138
Input,2718,component_dropout,0.0697452307,0.00360107422,0.994104127,0.988277369,1,0,0,0.96993988
Validation best,2718,component_dropout,0.203338182,0.00390625,0.993607671,0.987296546,1,2,0,0.946721311
Action-coordinate selector,2718,component_dropout,0.203338182,0.00390625,0.993607671,0.987296546,1,2,0,0.946721311
Direct-output selector,2718,component_dropout,0.204907336,0.00574951172,0.990606417,0.981394592,1,2,0,0.933789112
Input,2732,component_dropout,0.087458294,0.0220947266,0.959068295,0.921355638,1,0,0,0.888382688
Validation best,2732,component_dropout,0.087458294,0.0220947266,0.959068295,0.921355638,1,0,0,0.888382688
Action-coordinate selector,2732,component_dropout,0.087458294,0.0220947266,0.959068295,0.921355638,1,0,0,0.888382688
Direct-output selector,2732,component_dropout,0.0880516941,0.0227050781,0.957889971,0.919183141,1,0,0,0.888382688
Input,2756,component_dropout,0.0841279377,0.0178833008,0.965288473,0.932905885,1,0,0,0.870098039
Validation best,2756,component_dropout,0.0841279377,0.0178833008,0.965288473,0.932905885,1,0,0,0.870098039
Action-coordinate selector,2756,component_dropout,0.0841279377,0.0178833008,0.965288473,0.932905885,1,0,0,0.870098039
Direct-output selector,2756,component_dropout,0.0847328918,0.0185058594,0.964087367,0.930667181,1,0,0,0.869263484
Input,2799,component_dropout,0.0798207892,0.0145874023,0.974408395,0.950093965,1,0,0,0.894243641
Validation best,2799,component_dropout,0.0798207892,0.0145874023,0.974408395,0.950093965,1,0,0,0.894243641
Action-coordinate selector,2799,component_dropout,0.0798207892,0.0145874023,0.974408395,0.950093965,1,0,0,0.894243641
Direct-output selector,2799,component_dropout,0.0810300675,0.0159423828,0.972062689,0.945644453,1,0,0,0.886487942
Input,2807,component_dropout,0.0683612931,0.00189208984,0.996709479,0.993440542,1,0,0,0.96374269
Validation best,2807,component_dropout,0.0683612931,0.00189208984,0.996709479,0.993440542,1,0,0,0.96374269
Action-coordinate selector,2807,component_dropout,0.0683612931,0.00189208984,0.996709479,0.993440542,1,0,0,0.96374269
Direct-output selector,2807,component_dropout,0.0689969549,0.00260009766,0.995474328,0.990989702,1,0,0,0.96374269
Input,2846,component_dropout,0.067238397,0.00048828125,0.998814815,0.997632436,1,0,0,0.98816568
Validation best,2846,component_dropout,0.067238397,0.00048828125,0.998814815,0.997632436,1,0,0,0.98816568
Action-coordinate selector,2846,component_dropout,0.067238397,0.00048828125,0.998814815,0.997632436,1,0,0,0.98816568
Direct-output selector,2846,component_dropout,0.067395853,0.000622558594,0.998488313,0.996981355,1,0,0,0.98816568
Input,2857,component_dropout,0.0681781323,0.001953125,0.997197898,0.994411457,1,0,0,0.963302752
Validation best,2857,component_dropout,0.0681781323,0.001953125,0.997197898,0.994411457,1,0,0,0.963302752
Action-coordinate selector,2857,component_dropout,0.0681781323,0.001953125,0.997197898,0.994411457,1,0,0,0.963302752
Direct-output selector,2857,component_dropout,0.068526635,0.00240478516,0.996552472,0.993129273,1,0,0,0.959235583
Input,2916,component_dropout,0.0674425307,0.0009765625,0.998548621,0.997101449,1,0,0,0.981981982
Validation best,2916,component_dropout,0.0674425307,0.0009765625,0.998548621,0.997101449,1,0,0,0.981981982
Action-coordinate selector,2916,component_dropout,0.0674425307,0.0009765625,0.998548621,0.997101449,1,0,0,0.981981982
Direct-output selector,2916,component_dropout,0.0681499053,0.00186767578,0.997225741,0.994470288,1,0,0,0.979442828
Input,2917,component_dropout,0.0668868741,0.000305175781,0.999602069,0.999204455,1,0,0,0.99344692
Validation best,2917,component_dropout,0.0668868741,0.000305175781,0.999602069,0.999204455,1,0,0,0.99344692
Action-coordinate selector,2917,component_dropout,0.0668868741,0.000305175781,0.999602069,0.999204455,1,0,0,0.99344692
Direct-output selector,2917,component_dropout,0.0672127904,0.000756835938,0.999013109,0.998028333,1,0,0,0.991857626
Input,2925,component_dropout,0.0684383976,0.00262451172,0.996882929,0.993785229,1,0,0,0.94591195
Validation best,2925,component_dropout,0.0684383976,0.00262451172,0.996882929,0.993785229,1,0,0,0.94591195
Action-coordinate selector,2925,component_dropout,0.0684383976,0.00262451172,0.996882929,0.993785229,1,0,0,0.94591195
Direct-output selector,2925,component_dropout,0.0685952829,0.00285644531,0.996606682,0.993236393,1,0,0,0.94591195
Input,2992,component_dropout,0.100515467,0.0436401367,0.937198068,0.881818182,1,0,0,0.860262009
Validation best,2992,component_dropout,0.100515467,0.0436401367,0.937198068,0.881818182,1,0,0,0.860262009
Action-coordinate selector,2992,component_dropout,0.100515467,0.0436401367,0.937198068,0.881818182,1,0,0,0.860262009
Direct-output selector,2992,component_dropout,0.101179099,0.0444946289,0.935966233,0.87963976,1,0,0,0.8565071
Input,3083,component_dropout,0.0682497422,0.000671386719,0.996378005,0.992782152,1,0,0,0.977955912
Validation best,3083,component_dropout,0.0682497422,0.000671386719,0.996378005,0.992782152,1,0,0,0.977955912
Action-coordinate selector,3083,component_dropout,0.0682497422,0.000671386719,0.996378005,0.992782152,1,0,0,0.977955912
Direct-output selector,3083,component_dropout,0.0709672596,0.00181884766,0.990157941,0.980514038,1,0,0,0.977955912
Input,3137,component_dropout,0.0677003175,0.000549316406,0.997690531,0.995391705,1,0,0,0.987306065
Validation best,3137,component_dropout,0.202633101,0.00140380859,0.994119151,0.988307067,1,2,0,0.936296296
Action-coordinate selector,3137,component_dropout,0.134825016,0.000793457031,0.996667521,0.993357179,1,1,0,0.97574893
Direct-output selector,3137,component_dropout,0.213537278,0.00732421875,0.969818913,0.94140625,1,2,0,0.855613639
Input,3150,component_dropout,0.0680477561,0.000671386719,0.99688297,0.993785311,1,0,0,0.979591837
Validation best,3150,component_dropout,0.0680477561,0.000671386719,0.99688297,0.993785311,1,0,0,0.979591837
Action-coordinate selector,3150,component_dropout,0.0680477561,0.000671386719,0.99688297,0.993785311,1,0,0,0.979591837
Direct-output selector,3150,component_dropout,0.0739968713,0.00360107422,0.983475025,0.967490978,1,0,0,0.920297392
Input,3166,component_dropout,0.0672519144,0.000610351562,0.998842057,0.997686792,1,0,0,0.986807388
Validation best,3166,component_dropout,0.167368835,0.000732421875,0.99861079,0.997225434,1,1,0,0.985468956
Action-coordinate selector,3166,component_dropout,0.167368835,0.000732421875,0.99861079,0.997225434,1,1,0,0.985468956
Direct-output selector,3166,component_dropout,0.168766081,0.00219726562,0.995850098,0.991755272,1,1,0,0.962543818
Input,3169,component_dropout,0.0746895249,0.00756835938,0.983727034,0.967975207,1,0,0,0.927680798
Validation best,3169,component_dropout,0.0746895249,0.00756835938,0.983727034,0.967975207,1,0,0,0.927680798
Action-coordinate selector,3169,component_dropout,0.0746895249,0.00756835938,0.983727034,0.967975207,1,0,0,0.927680798
Direct-output selector,3169,component_dropout,0.0753646429,0.008203125,0.982356622,0.9653259,1,0,0,0.927680798
Input,3241,component_dropout,0.0953031149,0.0316772461,0.944247502,0.894383394,1,0,0,0.874692875
Validation best,3241,component_dropout,0.0953031149,0.0316772461,0.944247502,0.894383394,1,0,0,0.874692875
Action-coordinate selector,3241,component_dropout,0.0953031149,0.0316772461,0.944247502,0.894383394,1,0,0,0.874692875
Direct-output selector,3241,component_dropout,0.0955912269,0.0319824219,0.94367981,0.893365893,1,0,0,0.874692875
Input,3261,component_dropout,0.0880791864,0.0213623047,0.957149853,0.917821085,1,0,0,0.916752312
Validation best,3261,component_dropout,0.0880791864,0.0213623047,0.957149853,0.917821085,1,0,0,0.916752312
Action-coordinate selector,3261,component_dropout,0.0880791864,0.0213623047,0.957149853,0.917821085,1,0,0,0.916752312
Direct-output selector,3261,component_dropout,0.0883426746,0.0216186523,0.956619306,0.916846606,1,0,0,0.916752312
Input,3303,component_dropout,0.0628068837,0.00854492188,0.972255252,0.946008484,1,0,0,0.934648582
Validation best,3303,component_dropout,0.0628068837,0.00854492188,0.972255252,0.946008484,1,0,0,0.934648582
Action-coordinate selector,3303,component_dropout,0.0628068837,0.00854492188,0.972255252,0.946008484,1,0,0,0.934648582
Direct-output selector,3303,component_dropout,0.113908716,0.00928955078,0.969872986,0.94150916,2,0,0,0.932536361
Input,3317,component_dropout,0.0575351445,0.0087890625,0.98555667,0.971524619,1,0,0,0.944625407
Validation best,3317,component_dropout,0.0575351445,0.0087890625,0.98555667,0.971524619,1,0,0,0.944625407
Action-coordinate selector,3317,component_dropout,0.0575351445,0.0087890625,0.98555667,0.971524619,1,0,0,0.944625407
Direct-output selector,3317,component_dropout,0.113642605,0.016015625,0.973901301,0.949131145,2,0,0,0.903869704
Input,3364,component_dropout,0.23398015,0.0432739258,0.811686587,0.683057667,1,1,0,0.783042394
Validation best,3364,component_dropout,0.23398015,0.0432739258,0.811686587,0.683057667,1,1,0,0.783042394
Action-coordinate selector,3364,component_dropout,0.23398015,0.0432739258,0.811686587,0.683057667,1,1,0,0.783042394
Direct-output selector,3364,component_dropout,0.235925124,0.044128418,0.8072514,0.676799285,1,1,0,0.783042394
Input,3393,component_dropout,0.0707172474,0.00274658203,0.991246839,0.982645584,1,0,0,0.934114202
Validation best,3393,component_dropout,0.0707172474,0.00274658203,0.991246839,0.982645584,1,0,0,0.934114202
Action-coordinate selector,3393,component_dropout,0.0707172474,0.00274658203,0.991246839,0.982645584,1,0,0,0.934114202
Direct-output selector,3393,component_dropout,0.0765102129,0.00671386719,0.978748068,0.958380628,1,0,0,0.869898432
Input,3403,component_dropout,0.0685228848,0.00219726562,0.996458087,0.992941176,1,0,0,0.976277372
Validation best,3403,component_dropout,0.0685228848,0.00219726562,0.996458087,0.992941176,1,0,0,0.976277372
Action-coordinate selector,3403,component_dropout,0.0685228848,0.00219726562,0.996458087,0.992941176,1,0,0,0.976277372
Direct-output selector,3403,component_dropout,0.0690573198,0.00283203125,0.995439383,0.990921093,1,0,0,0.976277372
Input,3422,component_dropout,0.168244307,0.0426635742,0.767387687,0.622570194,1,0,0,0.713178295
Validation best,3422,component_dropout,0.168244307,0.0426635742,0.767387687,0.622570194,1,0,0,0.713178295
Action-coordinate selector,3422,component_dropout,0.168244307,0.0426635742,0.767387687,0.622570194,1,0,0,0.713178295
Direct-output selector,3422,component_dropout,0.172632606,0.0448364258,0.757503363,0.609670563,1,0,0,0.682253208
Input,3455,component_dropout,0.0672249587,0.000671386719,0.998939963,0.997882172,1,0,0,0.988433228
Validation best,3455,component_dropout,0.0672249587,0.000671386719,0.998939963,0.997882172,1,0,0,0.988433228
Action-coordinate selector,3455,component_dropout,0.0672249587,0.000671386719,0.998939963,0.997882172,1,0,0,0.988433228
Direct-output selector,3455,component_dropout,0.0681679454,0.00180664063,0.997150124,0.994318329,1,0,0,0.980913971
Input,3481,component_dropout,0.0695991736,0.00183105469,0.99358426,0.987250319,1,0,0,0.947368421
Validation best,3481,component_dropout,0.0695991736,0.00183105469,0.99358426,0.987250319,1,0,0,0.947368421
Action-coordinate selector,3481,component_dropout,0.0695991736,0.00183105469,0.99358426,0.987250319,1,0,0,0.947368421
Direct-output selector,3481,component_dropout,0.0703207739,0.00228271484,0.992006089,0.984139101,1,0,0,0.947368421
Input,3588,component_dropout,0.072781684,0.0103149414,0.989869927,0.979943033,1,0,0,0.939759036
Validation best,3588,component_dropout,0.072781684,0.0103149414,0.989869927,0.979943033,1,0,0,0.939759036
Action-coordinate selector,3588,component_dropout,0.072781684,0.0103149414,0.989869927,0.979943033,1,0,0,0.939759036
Direct-output selector,3588,component_dropout,0.0732000877,0.0110229492,0.989177922,0.978587936,1,0,0,0.937608446
Input,3595,component_dropout,0.0689000789,0.001953125,0.995393032,0.990828318,1,0,0,0.955431755
Validation best,3595,component_dropout,0.0689000789,0.001953125,0.995393032,0.990828318,1,0,0,0.955431755
Action-coordinate selector,3595,component_dropout,0.0689000789,0.001953125,0.995393032,0.990828318,1,0,0,0.955431755
Direct-output selector,3595,component_dropout,0.0699670956,0.00288085938,0.993189357,0.986479055,1,0,0,0.949170385
Input,3599,component_dropout,0.0631139666,0.00695800781,0.970694087,0.943056943,1,0,0,0.931547619
Validation best,3599,component_dropout,0.0631139666,0.00695800781,0.970694087,0.943056943,1,0,0,0.931547619
Action-coordinate selector,3599,component_dropout,0.0631139666,0.00695800781,0.970694087,0.943056943,1,0,0,0.931547619
Direct-output selector,3599,component_dropout,0.0640127255,0.007421875,0.968679124,0.939260739,1,0,0,0.931547619
Input,3602,component_dropout,0.0679225238,0.000610351562,0.997165533,0.994347089,1,0,0,0.980079681
Validation best,3602,component_dropout,0.0679225238,0.000610351562,0.997165533,0.994347089,1,0,0,0.980079681
Action-coordinate selector,3602,component_dropout,0.0679225238,0.000610351562,0.997165533,0.994347089,1,0,0,0.980079681
Direct-output selector,3602,component_dropout,0.0706192239,0.00191650391,0.991076859,0.98231982,1,0,0,0.980079681
Input,3613,component_dropout,0.143303284,0.0983276367,0.857572275,0.750657793,1,0,0,0.786813187
Validation best,3613,component_dropout,0.143303284,0.0983276367,0.857572275,0.750657793,1,0,0,0.786813187
Action-coordinate selector,3613,component_dropout,0.143303284,0.0983276367,0.857572275,0.750657793,1,0,0,0.786813187
Direct-output selector,3613,component_dropout,0.143874134,0.0990600586,0.856511361,0.749033555,1,0,0,0.786813187
Input,3629,component_dropout,0.0696217448,0.00415039062,0.9946875,0.989431147,1,0,0,0.926247289
Validation best,3629,component_dropout,0.20304165,0.00427246094,0.994532104,0.989123679,1,2,0,0.920392585
Action-coordinate selector,3629,component_dropout,0.20304165,0.00427246094,0.994532104,0.989123679,1,2,0,0.920392585
Direct-output selector,3629,component_dropout,0.204049161,0.00568847656,0.992721337,0.985549472,1,2,0,0.900149945
Input,3631,component_dropout,0.0975205677,0.0275878906,0.936659193,0.880864523,1,0,0,0.850877193
Validation best,3631,component_dropout,0.0975205677,0.0275878906,0.936659193,0.880864523,1,0,0,0.850877193
Action-coordinate selector,3631,component_dropout,0.0975205677,0.0275878906,0.936659193,0.880864523,1,0,0,0.850877193
Direct-output selector,3631,component_dropout,0.0984088966,0.0283691406,0.934828995,0.877633861,1,0,0,0.84986475
Input,3639,component_dropout,0.0679362318,0.000793457031,0.997222816,0.994461014,1,0,0,0.975970425
Validation best,3639,component_dropout,0.0679362318,0.000793457031,0.997222816,0.994461014,1,0,0,0.975970425
Action-coordinate selector,3639,component_dropout,0.0679362318,0.000793457031,0.997222816,0.994461014,1,0,0,0.975970425
Direct-output selector,3639,component_dropout,0.0696918296,0.00189208984,0.993383138,0.986853265,1,0,0,0.960600375
