grid,pair_id,k,d_h,abs_delta,ratio_to_3d
3x3,92,1,1,0,0.0
3x3,93,0,1,0,0.0
3x3,93,1,1,0,0.0
3x3,94,0,1,0,0.0
3x3,94,1,1,0,0.0
3x3,95,0,1,1,0.3333333333333333
3x3,95,1,1,0,0.0
3x3,96,0,1,1,0.3333333333333333
3x3,96,1,1,0,0.0
3x3,97,0,1,1,0.3333333333333333
3x3,97,1,1,0,0.0
3x3,98,0,1,0,0.0
3x3,98,1,1,0,0.0
3x3,99,0,1,0,0.0
3x3,99,1,1,0,0.0
3x3,100,0,1,0,0.0
3x3,100,1,1,0,0.0
3x3,101,0,1,1,0.3333333333333333
3x3,101,1,1,0,0.0
3x3,102,0,1,0,0.0
3x3,102,1,1,0,0.0
3x3,103,0,1,0,0.0
3x3,103,1,1,0,0.0
3x3,104,0,1,0,0.0
3x3,104,1,1,0,0.0
3x3,105,0,1,0,0.0
3x3,105,1,1,0,0.0
3x3,106,0,1,0,0.0
3x3,106,1,1,0,0.0
3x3,107,0,1,1,0.3333333333333333
3x3,107,1,1,0,0.0
3x3,108,0,1,0,0.0
3x3,108,1,1,0,0.0
3x3,109,0,1,0,0.0
3x3,109,1,1,0,0.0
3x3,110,0,1,0,0.0
3x3,110,1,1,0,0.0
3x3,111,0,1,0,0.0
3x3,111,1,1,0,0.0
3x3,112,0,1,1,0.3333333333333333
3x3,112,1,1,0,0.0
3x3,113,0,1,0,0.0
3x3,113,1,1,0,0.0
3x3,114,0,1,0,0.0
3x3,114,1,1,0,0.0
3x3,115,0,1,0,0.0
3x3,115,1,1,0,0.0
3x3,116,0,1,0,0.0
3x3,116,1,1,0,0.0
3x3,117,0,1,0,0.0
3x3,117,1,1,0,0.0
3x3,118,0,1,0,0.0
3x3,118,1,1,0,0.0
3x3,119,0,1,0,0.0
3x3,119,1,1,0,0.0
3x3,120,0,1,0,0.0
3x3,120,1,1,0,0.0
3x3,121,0,1,0,0.0
3x3,121,1,1,0,0.0
3x3,122,0,1,0,0.0
3x3,122,1,1,0,0.0
3x3,123,0,1,0,0.0
3x3,123,1,1,0,0.0
3x3,124,0,1,0,0.0
3x3,124,1,1,0,0.0
3x3,125,0,1,0,0.0
3x3,125,1,1,0,0.0
3x3,126,0,1,0,0.0
3x3,126,1,1,0,0.0
3x3,127,0,1,0,0.0
3x3,127,1,1,0,0.0
3x3,128,0,1,0,0.0
3x3,128,1,1,0,0.0
3x3,129,0,1,0,0.0
3x3,129,1,1,0,0.0
3x3,130,0,1,0,0.0
3x3,130,1,1,0,0.0
3x3,131,0,1,0,0.0
3x3,131,1,1,0,0.0
3x3,132,0,1,0,0.0
3x3,132,1,1,0,0.0
3x3,133,0,1,0,0.0
3x3,133,1,1,0,0.0
3x3,134,0,1,0,0.0
3x3,134,1,1,0,0.0
3x3,135,0,1,0,0.0
3x3,135,1,1,0,0.0
3x3,136,0,1,0,0.0
3x3,136,1,1,0,0.0
3x3,137,0,1,0,0.0
3x3,137,1,1,0,0.0
3x3,138,0,1,0,0.0
3x3,138,1,1,0,0.0
3x3,139,0,1,0,0.0
3x3,139,1,1,0,0.0
3x3,140,0,1,0,0.0
3x3,140,1,1,0,0.0
3x3,141,0,1,0,0.0
3x3,141,1,1,0,0.0
3x3,142,0,1,0,0.0
3x3,142,1,1,0,0.0
3x3,143,0,1,0,0.0
3x3,143,1,1,0,0.0
3x3,144,0,1,0,0.0
3x3,144,1,1,0,0.0
3x3,145,0,1,0,0.0
3x3,145,1,1,0,0.0
3x3,146,0,1,0,0.0
3x3,146,1,1,0,0.0
3x3,147,0,1,0,0.0
3x3,147,1,1,0,0.0
3x3,148,0,1,0,0.0
3x3,148,1,1,0,0.0
3x3,149,0,1,0,0.0
3x3,149,1,1,0,0.0
3x3,150,0,1,0,0.0
3x3,150,1,1,0,0.0
3x3,151,0,1,0,0.0
3x3,151,1,1,0,0.0
3x3,152,0,1,0,0.0
3x3,152,1,1,0,0.0
3x3,153,0,1,0,0.0
3x3,153,1,1,0,0.0
3x3,154,0,1,0,0.0
3x3,154,1,1,0,0.0
3x3,155,0,1,0,0.0
3x3,155,1,1,0,0.0
3x3,156,0,1,0,0.0
3x3,156,1,1,0,0.0
3x3,157,0,1,0,0.0
3x3,157,1,1,0,0.0
3x3,158,0,1,0,0.0
3x3,158,1,1,0,0.0
3x3,159,0,1,0,0.0
3x3,159,1,1,0,0.0
3x3,160,0,1,0,0.0
3x3,160,1,1,0,0.0
3x3,161,0,1,0,0.0
3x3,161,1,1,0,0.0
3x3,162,0,1,0,0.0
3x3,162,1,1,0,0.0
3x3,163,0,1,0,0.0
3x3,163,1,1,0,0.0
3x3,164,0,1,0,0.0
3x3,164,1,1,0,0.0
3x3,165,0,1,0,0.0
3x3,165,1,1,0,0.0
3x3,166,0,1,0,0.0
3x3,166,1,1,0,0.0
3x3,167,0,1,0,0.0
3x3,167,1,1,0,0.0
3x3,168,0,1,0,0.0
3x3,168,1,1,0,0.0
3x3,169,0,1,0,0.0
3x3,169,1,1,0,0.0
3x3,170,0,1,0,0.0
3x3,170,1,1,0,0.0
3x3,171,0,1,0,0.0
3x3,171,1,1,0,0.0
3x3,172,0,1,0,0.0
3x3,172,1,1,0,0.0
3x3,173,0,1,0,0.0
3x3,173,1,1,0,0.0
3x3,174,0,1,0,0.0
3x3,174,1,1,0,0.0
3x3,175,0,1,0,0.0
3x3,175,1,1,0,0.0
3x3,176,0,1,0,0.0
3x3,176,1,1,0,0.0
3x3,177,0,1,0,0.0
3x3,177,1,1,0,0.0
3x3,178,0,1,0,0.0
3x3,178,1,1,0,0.0
3x3,179,0,1,0,0.0
3x3,179,1,1,0,0.0
3x3,180,0,1,0,0.0
3x3,180,1,1,0,0.0
3x3,181,0,1,0,0.0
3x3,181,1,1,0,0.0
3x3,182,0,1,0,0.0
3x3,182,1,1,0,0.0
3x3,183,0,1,0,0.0
3x3,183,1,1,0,0.0
3x3,184,0,1,0,0.0
3x3,184,1,1,0,0.0
3x3,185,0,1,0,0.0
3x3,185,1,1,0,0.0
3x3,186,0,1,0,0.0
3x3,186,1,1,0,0.0
3x3,187,0,1,0,0.0
3x3,187,1,1,0,0.0
3x3,188,0,1,0,0.0
3x3,188,1,1,0,0.0
3x3,189,0,1,0,0.0
3x3,189,1,1,0,0.0
3x3,190,0,1,0,0.0
3x3,190,1,1,0,0.0
3x3,191,0,1,0,0.0
3x3,191,1,1,0,0.0
3x3,192,0,1,0,0.0
3x3,192,1,1,0,0.0
3x3,193,0,1,0,0.0
3x3,193,1,1,0,0.0
3x3,194,0,1,0,0.0
3x3,194,1,1,0,0.0
3x3,195,0,1,0,0.0
3x3,195,1,1,0,0.0
3x3,196,0,1,0,0.0
3x3,196,1,1,0,0.0
3x3,197,0,1,0,0.0
3x3,197,1,1,0,0.0
3x3,198,0,1,0,0.0
3x3,198,1,1,0,0.0
3x3,199,0,1,0,0.0
3x3,199,1,1,0,0.0
3x3,200,0,1,0,0.0
3x3,200,1,1,0,0.0
3x3,201,0,1,0,0.0
3x3,201,1,1,0,0.0
3x3,202,0,1,0,0.0
3x3,202,1,1,0,0.0
3x3,203,0,1,0,0.0
3x3,203,1,1,0,0.0
3x3,204,0,1,0,0.0
3x3,204,1,1,0,0.0
3x3,205,0,1,0,0.0
3x3,205,1,1,0,0.0
3x3,206,0,1,0,0.0
3x3,206,1,1,0,0.0
3x3,207,0,1,0,0.0
3x3,207,1,1,0,0.0
3x3,208,0,1,0,0.0
3x3,208,1,1,0,0.0
3x3,209,0,1,1,0.3333333333333333
3x3,209,1,1,0,0.0
3x3,210,0,1,0,0.0
3x3,210,1,1,0,0.0
3x3,211,0,1,0,0.0
3x3,211,1,1,0,0.0
3x3,212,0,1,1,0.3333333333333333
3x3,212,1,1,0,0.0
3x3,213,0,1,0,0.0
3x3,213,1,1,0,0.0
3x3,214,0,1,1,0.3333333333333333
3x3,214,1,1,0,0.0
3x3,215,0,1,0,0.0
3x3,215,1,1,0,0.0
3x3,216,0,1,0,0.0
3x3,216,1,1,0,0.0
3x3,217,0,1,1,0.3333333333333333
3x3,217,1,1,0,0.0
3x3,218,0,1,0,0.0
3x3,218,1,1,0,0.0
3x3,219,0,1,0,0.0
3x3,219,1,1,0,0.0
3x3,220,0,1,1,0.3333333333333333
3x3,220,1,1,0,0.0
3x3,221,0,1,1,0.3333333333333333
3x3,221,1,1,0,0.0
3x3,222,0,1,0,0.0
3x3,222,1,1,0,0.0
3x3,223,0,1,0,0.0
3x3,223,1,1,0,0.0
3x3,224,0,1,0,0.0
3x3,224,1,1,0,0.0
3x3,225,0,1,0,0.0
3x3,225,1,1,0,0.0
3x3,226,0,1,0,0.0
3x3,226,1,1,0,0.0
3x3,227,0,1,0,0.0
3x3,227,1,1,0,0.0
3x3,228,0,1,1,0.3333333333333333
3x3,228,1,1,0,0.0
3x3,229,0,1,0,0.0
3x3,229,1,1,0,0.0
3x3,230,0,1,0,0.0
3x3,230,1,1,0,0.0
3x3,231,0,1,0,0.0
3x3,231,1,1,0,0.0
3x3,232,0,1,0,0.0
3x3,232,1,1,0,0.0
3x3,233,0,1,0,0.0
3x3,233,1,1,0,0.0
3x3,234,0,1,1,0.3333333333333333
3x3,234,1,1,0,0.0
3x3,235,0,1,0,0.0
3x3,235,1,1,0,0.0
3x3,236,0,1,0,0.0
3x3,236,1,1,0,0.0
3x3,237,0,1,1,0.3333333333333333
3x3,237,1,1,0,0.0
3x3,238,0,1,0,0.0
3x3,238,1,1,0,0.0
3x3,239,0,1,1,0.3333333333333333
3x3,239,1,1,0,0.0
3x3,240,0,1,0,0.0
3x3,240,1,1,0,0.0
3x3,241,0,1,1,0.3333333333333333
3x3,241,1,1,0,0.0
3x3,242,0,1,0,0.0
3x3,242,1,1,0,0.0
3x3,243,0,1,0,0.0
3x3,243,1,1,0,0.0
3x3,244,0,1,1,0.3333333333333333
3x3,244,1,1,0,0.0
3x3,245,0,1,0,0.0
3x3,245,1,1,0,0.0
3x3,246,0,1,1,0.3333333333333333
3x3,246,1,1,0,0.0
3x3,247,0,1,1,0.3333333333333333
3x3,247,1,1,0,0.0
3x3,248,0,1,0,0.0
3x3,248,1,1,0,0.0
3x3,249,0,1,0,0.0
3x3,249,1,1,0,0.0
3x3,250,0,1,0,0.0
3x3,250,1,1,0,0.0
3x3,251,0,1,0,0.0
3x3,251,1,1,0,0.0
3x3,252,0,1,0,0.0
3x3,252,1,1,0,0.0
3x3,253,0,1,1,0.3333333333333333
3x3,253,1,1,0,0.0
3x3,254,0,1,0,0.0
3x3,254,1,1,0,0.0
3x3,255,0,1,0,0.0
3x3,255,1,1,0,0.0
3x3,256,0,1,0,0.0
3x3,256,1,1,0,0.0
3x3,257,0,1,0,0.0
3x3,257,1,1,0,0.0
3x3,258,0,1,1,0.3333333333333333
3x3,258,1,1,0,0.0
3x3,259,0,1,0,0.0
3x3,259,1,1,0,0.0
3x3,260,0,1,0,0.0
3x3,260,1,1,0,0.0
3x3,261,0,1,0,0.0
3x3,261,1,1,0,0.0
3x3,262,0,1,1,0.3333333333333333
3x3,262,1,1,0,0.0
3x3,263,0,1,0,0.0
3x3,263,1,1,0,0.0
3x3,264,0,1,1,0.3333333333333333
3x3,264,1,1,0,0.0
3x3,265,0,1,0,0.0
3x3,265,1,1,0,0.0
3x3,266,0,1,1,0.3333333333333333
3x3,266,1,1,0,0.0
3x3,267,0,1,0,0.0
3x3,267,1,1,0,0.0
3x3,268,0,1,1,0.3333333333333333
3x3,268,1,1,0,0.0
3x3,269,0,1,0,0.0
3x3,269,1,1,0,0.0
3x3,270,0,1,1,0.3333333333333333
3x3,270,1,1,0,0.0
3x3,271,0,1,0,0.0
3x3,271,1,1,0,0.0
3x3,272,0,1,1,0.3333333333333333
3x3,272,1,1,0,0.0
3x3,273,0,1,0,0.0
3x3,273,1,1,0,0.0
3x3,274,0,1,0,0.0
3x3,274,1,1,0,0.0
3x3,275,0,1,0,0.0
3x3,275,1,1,0,0.0
3x3,276,0,1,0,0.0
3x3,276,1,1,0,0.0
3x3,277,0,1,0,0.0
3x3,277,1,1,0,0.0
3x3,278,0,1,0,0.0
3x3,278,1,1,1,0.3333333333333333
3x3,279,0,1,0,0.0
3x3,279,1,1,0,0.0
3x3,280,0,1,0,0.0
3x3,280,1,1,0,0.0
3x3,281,0,1,0,0.0
3x3,281,1,1,0,0.0
3x3,282,0,1,0,0.0
3x3,282,1,1,0,0.0
3x3,283,0,1,0,0.0
3x3,283,1,1,1,0.3333333333333333
3x3,284,0,1,0,0.0
3x3,284,1,1,0,0.0
3x3,285,0,1,0,0.0
3x3,285,1,1,0,0.0
3x3,286,0,1,1,0.3333333333333333
3x3,286,1,1,0,0.0
3x3,287,0,1,1,0.3333333333333333
3x3,287,1,1,0,0.0
3x3,288,0,1,0,0.0
3x3,288,1,1,0,0.0
3x3,289,0,1,1,0.3333333333333333
3x3,289,1,1,0,0.0
3x3,290,0,1,0,0.0
3x3,290,1,1,0,0.0
3x3,291,0,1,1,0.3333333333333333
3x3,291,1,1,0,0.0
3x3,292,0,1,1,0.3333333333333333
3x3,292,1,1,0,0.0
3x3,293,0,1,0,0.0
3x3,293,1,1,0,0.0
3x3,294,0,1,1,0.3333333333333333
3x3,294,1,1,0,0.0
3x3,295,0,1,0,0.0
3x3,295,1,1,0,0.0
3x3,296,0,1,0,0.0
3x3,296,1,1,0,0.0
3x3,297,0,1,0,0.0
3x3,297,1,1,0,0.0
3x3,298,0,1,0,0.0
3x3,298,1,1,0,0.0
3x3,299,0,1,0,0.0
3x3,299,1,1,1,0.3333333333333333
3x3,300,0,1,0,0.0
3x3,300,1,1,0,0.0
3x3,301,0,1,0,0.0
3x3,301,1,1,0,0.0
3x3,302,0,1,0,0.0
3x3,302,1,1,0,0.0
3x3,303,0,1,0,0.0
3x3,303,1,1,1,0.3333333333333333
3x3,304,0,1,0,0.0
3x3,304,1,1,0,0.0
3x3,305,0,1,0,0.0
3x3,305,1,1,0,0.0
3x3,306,0,1,0,0.0
3x3,306,1,1,0,0.0
3x3,307,0,1,0,0.0
3x3,307,1,1,0,0.0
3x3,308,0,1,0,0.0
3x3,308,1,1,0,0.0
3x3,309,0,1,0,0.0
3x3,309,1,1,0,0.0
3x3,310,0,1,0,0.0
3x3,310,1,1,0,0.0
3x3,311,0,1,0,0.0
3x3,311,1,1,0,0.0
3x3,312,0,1,0,0.0
3x3,312,1,1,0,0.0
3x3,313,0,1,0,0.0
3x3,313,1,1,0,0.0
3x3,314,0,1,0,0.0
3x3,314,1,1,0,0.0
3x3,315,0,1,0,0.0
