n,kappa_exact,theta_power,abs_residual,max_topology_bound_ratio
1,0.6,0.6,0.0,0.33333333333333337
2,0.36,0.36,0.0,0.3333333333333333
3,0.21599999999999997,0.21599999999999997,0.0,0.33333333333333337
4,0.12959999999999994,0.1296,5.551115123125783e-17,0.3333333333333333
5,0.07775999999999994,0.07775999999999998,4.163336342344337e-17,0.3333333333333334
6,0.04665599999999992,0.04665599999999999,6.938893903907228e-17,0.33333333333333337
7,0.027993599999999952,0.027993599999999993,4.163336342344337e-17,0.33333333333333337
8,0.01679615999999995,0.016796159999999994,4.5102810375396984e-17,0.33333333333333337
