extra_copies,p_star,sharp_shift,universal_bound,sharpness_ratio,m_after_two_label_bank,M_distinct,log_m,log_M
1,0.4142135623730951,0.17157287525380988,0.17157287525380996,0.9999999999999996,3,2,1.0986122886681098,0.6931471805599453
2,0.36602540378443865,0.26794919243112275,0.2679491924311227,1.0000000000000002,4,2,1.3862943611198906,0.6931471805599453
4,0.3090169943749474,0.3819660112501051,0.38196601125010515,0.9999999999999999,6,2,1.791759469228055,0.6931471805599453
8,0.25,0.5,0.5,1.0,10,2,2.302585092994046,0.6931471805599453
16,0.1951941016011038,0.6096117967977923,0.6096117967977924,0.9999999999999998,18,2,2.8903717578961645,0.6931471805599453
32,0.1482675827043134,0.7034648345913732,0.7034648345913732,1.0,34,2,3.5263605246161616,0.6931471805599453
64,0.11034777731716484,0.7793044453656705,0.7793044453656703,1.0000000000000002,66,2,4.189654742026425,0.6931471805599453
128,0.08092044290312927,0.8381591141937415,0.8381591141937415,1.0,130,2,4.867534450455582,0.6931471805599453
256,0.058715701335474206,0.8825685973290515,0.8825685973290516,0.9999999999999999,258,2,5.552959584921617,0.6931471805599453
