dataset,repeat,conditional_ms_per_image,area8_ms_per_image,batch_size,cases
shapes,0,11.052016870003172,0.15551381000022957,1,100
shapes,1,11.25850243000059,0.09004490999814152,1,100
shapes,2,10.806511629998568,0.10220010000011825,1,100
mnist,0,8.624148809999497,0.06475273000432935,1,100
mnist,1,8.675697659996331,0.06451688000197464,1,100
mnist,2,8.515185360001851,0.06272811999679107,1,100
fashion,0,8.430963909995626,0.06491096999980073,1,100
fashion,1,8.472377379998761,0.06419791000098485,1,100
fashion,2,9.099024280003505,0.07005964999734715,1,100
