baseline,samples,theory_trace,empirical_squared_error
zero,1,0.000421482432484207,0.00043993033080915725
zero,8,5.268530406052588e-05,5.2133459211461876e-05
zero,64,6.585663007565735e-06,6.667128392444836e-06
conditional mean,1,0.00028570170144087437,0.0002521330805984543
conditional mean,8,3.5712712680109297e-05,3.6638782088681236e-05
conditional mean,64,4.464089085013662e-06,4.571454482452704e-06
