dataset,control,gain,low,high,simultaneous_low,simultaneous_high,win_fraction
shapes,Validation best,0.0046716731727062125,0.0035674858766556444,0.005832438681533905,0.0031983608916671034,0.00621524298877856,0.4288577154308617
shapes,Classical best,0.0046716731727062125,0.0035674858766556444,0.005832438681533905,0.0031983608916671034,0.00621524298877856,0.4288577154308617
mnist,Validation best,0.0019526600844116664,0.0013158100246373418,0.002595893243660058,0.001042195782053093,0.002716157374651264,0.404
mnist,Classical best,0.0019526600844116664,0.0013158100246373418,0.002595893243660058,0.001042195782053093,0.002716157374651264,0.404
fashion,Validation best,0.022740751218494167,0.01987285543027252,0.025706353360100444,0.01872325833077453,0.026903135378936214,0.619
fashion,Classical best,0.022740751218494167,0.01987285543027252,0.025706353360100444,0.01872325833077453,0.026903135378936214,0.619
