dataset,distinct_outputs,action_loss,quotient_loss,mean_max_replication_tv,invariance_residual
shapes,26.723780895123582,0.041459603677959436,0.041697730567168634,0.1510793599041656,6.661338147750939e-16
mnist,23.545,0.04332241804580204,0.043492974156564675,0.07790255965796031,3.3306690738754696e-16
fashion,26.236,0.13127537299574538,0.13150955616351104,0.16578669964275455,3.3306690738754696e-16
